Player,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
PJ Dozier,MIN,28,9,7,2,34.9,7,2,3,66.7,2,3,66.7,1,6,16.7,1,4,5,5,1,1,0,3,23,0,0,-4
RayJ Dennis,IND,23,8,5,3,22.9,7,2,10,20.0,1,7,14.3,2,2,100,2,4,6,5,4,3,0,3,27,0,0,-3
Anton Watson,NYK,24,5,3,2,13.7,6,3,7,42.9,0,0,0.0,0,0,0.0,1,1,2,2,1,0,0,1,10,0,0,-2
Emoni Bates,CLE,21,7,7,0,27.4,6,2,14,14.3,2,11,18.2,0,0,0.0,0,0,0,4,0,1,0,2,15,0,0,-16
Jacob Toppin,ATL,24,16,12,4,48.6,6,3,10,30.0,0,2,0.0,0,0,0.0,2,9,11,4,2,2,0,3,29,0,0,-18
James Wiseman,IND,23,1,1,0,4.6,6,2,4,50.0,0,1,0.0,2,2,100,0,1,1,0,0,0,0,0,7,0,0,-4
Josh Christopher,MIA,23,8,4,4,27.6,6,2,7,28.6,0,1,0.0,2,4,50.0,0,3,3,4,4,0,1,1,15,0,0,-8
Tazé Moore,POR,26,2,0,2,19.9,6,2,10,20.0,1,4,25.0,1,2,50.0,4,4,8,1,2,2,0,0,21,0,0,-7
Alondes Williams,DET,25,1,0,1,3.7,5,2,2,100,1,1,100,0,0,0.0,0,0,0,1,0,0,0,0,7,0,0,6
David Duke Jr.,SAS,25,4,0,4,17.6,5,2,7,28.6,0,1,0.0,1,2,50.0,0,3,3,3,1,0,0,1,12,0,0,11
Skal Labissiere,SAC,29,4,2,2,12.0,5,2,4,50.0,1,1,100,0,0,0.0,1,2,3,1,0,0,0,1,10,0,0,-1
Ulrich Chomche,TOR,19,7,3,4,32.2,5,2,5,40.0,0,0,0.0,1,2,50.0,4,4,8,2,2,0,1,5,19,0,0,-24
Jalen Bridges,PHX,23,5,0,5,25.1,4,1,4,25.0,1,4,25.0,1,2,50.0,0,3,3,0,4,0,0,0,4,0,0,0
Cui Yongxi,BKN,21,5,2,3,10.3,3,1,7,14.3,0,3,0.0,1,2,50.0,0,2,2,0,0,0,0,0,5,0,0,2
D.J. Carton,TOR,24,4,1,3,33.4,3,1,7,14.3,0,3,0.0,1,1,100,0,4,4,3,4,2,0,1,14,0,0,12
Quincy Olivari,LAL,23,2,1,1,10.3,3,1,5,20.0,1,5,20.0,0,0,0.0,0,0,0,1,1,0,0,0,4,0,0,-18
Tristen Newton,MIN,23,8,2,6,16.1,3,1,8,12.5,0,3,0.0,1,1,100,2,2,4,2,2,1,0,4,12,0,0,-5
Harrison Ingram,SAS,22,3,0,3,17.3,2,1,3,33.3,0,1,0.0,0,0,0.0,1,4,5,1,0,1,0,2,13,0,0,16
Jamaree Bouyea,MIL,25,1,1,0,4.6,2,1,1,100,0,0,0.0,0,0,0.0,0,0,0,1,1,1,0,0,6,0,0,-1
Malevy Leons,OKC,25,6,6,0,21.0,2,0,2,0.0,0,1,0.0,2,4,50.0,1,2,3,1,1,0,0,4,6,0,0,-18
Yuri Collins,GSW,24,2,2,0,16.3,2,1,3,33.3,0,0,0.0,0,0,0.0,2,1,3,4,0,2,0,5,18,0,0,-5
Daishen Nix,MIN,23,3,3,0,13.2,1,0,1,0.0,0,1,0.0,1,2,50.0,0,4,4,3,4,0,0,1,6,0,0,9
Bobi Klintman,DET,22,6,4,2,17.3,0,0,2,0.0,0,1,0.0,0,0,0.0,0,4,4,1,1,0,1,2,8,0,0,4
Cole Swider,DET,25,2,0,2,13.1,0,0,5,0.0,0,5,0.0,0,0,0.0,0,2,2,1,0,0,0,1,4,0,0,10
Daniss Jenkins,DET,23,5,3,2,9.9,0,0,4,0.0,0,4,0.0,0,0,0.0,0,0,0,0,1,0,0,2,-1,0,0,-14
Emanuel Miller,CHI,24,1,0,1,2.4,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-3
Jahlil Okafor,IND,29,1,0,1,3.4,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,3,0,0,5
Jahmir Young,CHI,24,1,0,1,2.4,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,3,0,0,-3
Jalen McDaniels,WAS,27,4,2,2,7.3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,1,0,0,5,0,0,-1
Jesse Edwards,MIN,25,2,2,0,4.7,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,2,2,0,0,-10
Justin Minaya,POR,25,10,4,6,24.7,0,0,2,0.0,0,1,0.0,0,0,0.0,2,2,4,2,0,1,0,3,11,0,0,-21
Mac McClung,ORL,26,2,1,1,10.2,0,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,3,0,0,0,2,6,0,0,-2
Miles Norris,BOS,24,1,1,0,4.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,2,0,0,-4
P.J. Tucker,NYK,39,1,0,1,1.8,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2
Riley Minix,SAS,24,1,0,1,6.8,0,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,0,2,0,0,0
Zyon Pullin,MEM,24,3,1,2,2.6,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1
